Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
group_82,group_384,group_384,group_384,group_384,group_384,group_1771,group_384,group_384,group_1771,group_1771,group_798,group_1771,group_1771,group_384,group_384,group_1771,group_384,group_384,group_384,group_1936,group_2468,group_2950
group_412,group_1277,group_1277,group_1277,group_1277,group_1277,sca2_1,group_1771,group_1771,sca2_1,sca2_1,group_799,sca2_1,sca2_1,group_1771,group_1771,sca2_1,group_1771,group_1771,group_1771,group_1011,group_2469,group_2951
group_1279,group_1846,group_1846,group_1846,group_1846,group_1846,group_1277,sca2_1,sca2_1,group_1277,group_1277,group_1611,group_1277,group_1277,sca2_1,sca2_1,group_1277,sca2_1,sca2_1,sca2_1,parB,group_2470,group_2952
group_413,group_83,group_83,group_83,group_83,group_83,group_1278,group_1277,group_1277,group_1278,group_1278,group_140,group_1278,group_1278,group_1277,group_1277,group_1278,group_1277,group_1277,group_1277,group_1013,group_1277,group_1017
group_176,group_412,group_412,group_412,group_412,group_412,group_83,group_1278,group_1278,group_83,group_83,group_141,group_82,group_83,group_1278,group_1278,group_83,group_1278,group_1278,group_1278,group_1937,group_2471,group_2953
group_1280,phaB,phaB,phaB,phaB,phaB,group_412,group_83,group_83,group_412,group_412,group_1612,group_412,group_412,group_83,group_82,group_412,group_83,group_83,group_83,group_1014,group_82,group_1016
group_414,group_176,group_176,group_176,group_176,group_176,group_1772,group_412,group_412,group_1772,group_1772,rph,group_1772,group_1772,group_412,group_412,group_1772,group_412,group_412,group_412,group_1938,group_83,secB
group_48,group_1280,group_1280,group_1280,group_1280,group_1280,group_413,group_1772,group_1772,group_413,group_413,grpE,group_413,group_413,group_1772,group_1772,group_413,group_1772,group_1772,group_1772,group_1939,group_412,dcd
clpB,group_414,group_414,group_414,group_414,group_414,group_1773,group_413,group_413,group_1773,group_1773,group_801,group_176,group_1773,group_413,group_413,group_1773,group_413,group_413,group_413,group_1015,group_2472,group_2954
group_415,group_48,group_48,group_48,group_48,group_48,group_414,group_1773,group_1773,group_414,group_414,group_802,group_1773,group_414,group_1773,group_176,group_414,group_1773,group_1773,group_1773,group_1940,group_2473,group_2955
tsaD,clpB,clpB,clpB,clpB,clpB,group_48,group_414,group_414,group_48,group_48,group_973,group_414,group_48,group_414,group_1773,group_48,group_414,group_414,group_414,group_1941,group_2474,group_2956
group_2476,group_415,group_415,group_415,group_415,group_415,clpB,group_48,group_48,clpB,clpB,group_803,group_48,clpB,group_48,group_414,clpB,group_48,group_48,group_48,group_1942,group_414,group_1015
phoB,tsaD,tsaD,tsaD,tsaD,tsaD,group_415,clpB,clpB,group_415,group_415,group_1816,clpB,group_415,clpB,group_48,group_415,clpB,clpB,clpB,dcd,group_2475,group_2957
group_178,group_2476,group_2476,group_2476,group_2476,group_2476,tsaD,group_415,group_415,tsaD,tsaD,group_1616,group_415,tsaD,group_415,clpB,tsaD,group_415,group_415,group_415,secB,group_49,group_2958
rpsF,phoB,phoB,phoB,phoB,phoB,group_2476,tsaD,tsaD,group_2476,group_2476,group_1617,tsaD,group_2476,tsaD,group_415,group_2476,tsaD,tsaD,tsaD,group_1016,group_50,group_1014
rpsR,group_178,group_178,group_178,group_178,group_178,phoB,group_2476,group_2476,phoB,phoB,group_3423,group_2476,phoB,group_2476,tsaD,phoB,group_2476,group_2476,group_2476,group_1943,group_48,group_2959
rplI,rpsF,rpsF,rpsF,rpsF,rpsF,group_178,phoB,phoB,group_178,group_178,group_3419,phoB,group_178,phoB,group_2476,group_178,phoB,phoB,phoB,group_1017,clpB,group_1013
tilS,rpsR,rpsR,rpsR,rpsR,rpsR,rpsF,group_178,group_178,rpsF,rpsF,group_3421,group_178,rpsF,group_178,phoB,rpsF,group_178,group_178,group_178,group_1944,group_415,parB
ftsH,rplI,rplI,rplI,rplI,rplI,rpsR,rpsF,rpsF,rpsR,rpsR,rpsT,rpsF,rpsR,rpsF,group_178,rpsR,rpsF,rpsF,rpsF,group_1945,tsaD,group_1011
hhaIM,tilS,tilS,tilS,tilS,tilS,rplI,rpsR,rpsR,rplI,rplI,rplQ,rpsR,rplI,rpsR,rpsF,rplI,rpsR,rpsR,rpsR,group_1946,group_2476,group_2960
group_1283,ftsH,ftsH,ftsH,ftsH,ftsH,tilS,rplI,rplI,tilS,tilS,rpoA,rplI,tilS,rplI,rpsR,tilS,rplI,rplI,rplI,group_1947,rpsF,group_1010
sdhB,hhaIM,hhaIM,hhaIM,hhaIM,hhaIM,ftsH,tilS,tilS,ftsH,ftsH,rpsK,tilS,ftsH,tilS,rplI,ftsH,tilS,tilS,tilS,group_1948,rpsR,ndk
group_1285,group_1283,group_1283,group_1283,group_1283,group_1283,hhaIM,ftsH,ftsH,hhaIM,hhaIM,rpsM,ftsH,hhaIM,ftsH,tilS,hhaIM,ftsH,ftsH,ftsH,group_1949,rplI,uhpC
group_1286,sdhB,sdhB,sdhB,sdhB,sdhB,group_1283,hhaIM,hhaIM,group_1283,group_1283,adk,hhaIM,group_1283,hhaIM,ftsH,group_1283,hhaIM,hhaIM,hhaIM,group_1950,group_2477,group_1008
lgt,group_1285,group_1285,group_1285,group_1285,group_1285,sdhB,group_1283,group_1283,sdhB,sdhB,secY,group_1283,sdhB,group_1283,hhaIM,sdhB,group_1283,group_1283,group_1283,group_1951,ftsH,group_2961
ybdG,group_1286,group_1286,group_1286,group_1286,group_1286,group_1774,sdhB,sdhB,group_1774,group_1774,rplO,sdhB,group_1774,sdhB,group_1283,group_1774,sdhB,sdhB,sdhB,group_1952,group_2478,group_2962
yidC,lgt,lgt,lgt,lgt,lgt,group_1286,group_1774,group_1774,group_1286,group_1286,rpmD,group_1774,group_1286,group_1774,sdhB,group_1286,group_1774,group_1774,group_1774,group_1953,sdhB,group_2963
pgsA,ybdG,ybdG,ybdG,ybdG,ybdG,lgt,group_1286,group_1286,lgt,lgt,rpsE,group_1286,lgt,group_1286,group_1774,lgt,group_1286,group_1286,group_1286,group_1018,group_2479,pgsA
group_421,yidC,yidC,yidC,yidC,yidC,ybdG,lgt,lgt,ybdG,ybdG,rplR,lgt,ybdG,lgt,group_1286,ybdG,lgt,lgt,lgt,group_1954,group_1286,group_2964
group_422,pgsA,pgsA,pgsA,pgsA,pgsA,yidC,ybdG,ybdG,yidC,yidC,rplF,ybdG,yidC,ybdG,lgt,yidC,ybdG,ybdG,ybdG,group_1955,lgt,group_1007
