Sample01,Sample02,Sample03,Sample04,Sample05,Sample06,Sample07,Sample08,Sample09,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23
group_60,group_1514,group_277,group_1515,group_1515,group_1515,group_1518,group_1516,group_1516,group_1517,group_1517,group_203,group_1516,group_1517,group_1516,group_1516,group_1517,group_1516,group_278,group_1516,group_2372,sucB_2,group_3349
group_692,group_277,group_1515,group_278,group_278,group_278,infC,group_1517,group_1517,group_1518,group_1518,group_204,group_1517,group_1518,group_1517,group_1517,group_1518,group_1517,group_1516,group_1517,group_1212,prfA,group_3350
cmk,group_1515,group_278,group_1516,group_1516,group_1516,sucB_2,group_1518,group_1518,infC,infC,dapD,group_1518,infC,group_1518,group_1518,infC,group_1518,group_1517,group_1518,group_2373,recJ,recA
group_694,group_278,group_1516,group_1517,group_1517,group_1517,prfA,infC,infC,sucB_2,sucB_2,group_205,infC,sucB_2,infC,infC,sucB_2,infC,group_1518,infC,rplU,cmoM,group_1217
rpsA,group_1516,group_1517,group_1518,group_1518,group_1518,recJ,sucB_2,sucB_2,prfA,prfA,group_91,sucB_2,prfA,sucB_2,sucB_2,prfA,sucB_2,infC,sucB_2,group_1213,rho,acpP
clpP,group_1517,group_1518,infC,infC,infC,cmoM,prfA,prfA,recJ,recJ,pbpC,prfA,recJ,prfA,prfA,recJ,prfA,sucB_2,prfA,group_2374,group_1520,group_1218
group_1525,group_1518,infC,sucB_2,sucB_2,sucB_2,rho,recJ,recJ,cmoM,cmoM,group_208,recJ,cmoM,recJ,recJ,cmoM,recJ,prfA,recJ,group_2375,ihfB_2,group_3351
fni,infC,sucB_2,prfA,prfA,prfA,group_1520,cmoM,cmoM,rho,rho,group_209,cmoM,rho,cmoM,cmoM,rho,cmoM,group_1842,cmoM,group_1214,group_2675,group_3352
group_696,sucB_2,prfA,recJ,recJ,recJ,ihfB_2,rho,rho,group_1520,group_1520,group_92,rho,group_1520,rho,rho,group_1520,rho,recJ,rho,group_2376,group_2676,group_162
group_1526,prfA,recJ,cmoM,cmoM,cmoM,group_690,group_1520,group_1520,ihfB_2,ihfB_2,group_210,group_1520,ihfB_2,group_1520,group_1520,ihfB_2,group_1520,cmoM,group_1520,group_2377,group_691,group_3353
group_697,recJ,cmoM,rho,rho,rho,group_691,ihfB_2,ihfB_2,group_690,group_690,group_496,ihfB_2,group_690,ihfB_2,ihfB_2,group_690,ihfB_2,rho,ihfB_2,group_1215,yaaA,mreB
glmU,cmoM,rho,group_1520,group_1520,group_1520,yaaA,group_690,group_690,group_691,group_691,group_93,group_690,group_691,group_690,group_690,group_691,group_690,group_1520,group_690,group_1216,group_2677,group_1219
group_699,rho,group_1520,ihfB_2,ihfB_2,ihfB_2,group_1521,group_691,group_691,yaaA,yaaA,group_53,group_691,yaaA,group_691,group_691,yaaA,group_691,ihfB_2,group_691,group_2378,group_2678,group_3354
ykgO,group_1520,ihfB_2,group_690,group_690,group_690,group_1522,yaaA,yaaA,group_1521,group_1521,group_51,yaaA,group_1521,yaaA,yaaA,group_1521,yaaA,group_690,yaaA,group_2379,group_2679,group_1220
group_5,ihfB_2,group_690,group_691,group_691,group_691,group_967,group_1521,group_1521,group_1522,group_1522,sca2_3,group_1521,group_1522,group_1521,group_1521,group_1522,group_1521,group_691,group_1521,recA,group_2680,group_3355
group_7,group_690,group_691,yaaA,yaaA,yaaA,group_280,group_1522,group_1522,group_967,group_967,uspF,group_1522,group_967,group_1522,group_1522,group_967,group_1522,yaaA,group_1522,group_1217,group_2681,group_3356
group_8,group_691,yaaA,group_1521,group_1521,group_1521,group_60,group_967,group_967,group_280,group_280,group_1363,group_967,group_280,group_967,group_967,group_280,group_967,group_1521,group_967,acpP,trpS,group_3357
group_700,yaaA,group_1521,group_1522,group_1522,group_1522,group_692,group_280,group_280,group_60,group_60,group_1854,group_280,group_60,group_280,group_280,group_60,group_280,group_1522,group_280,group_1218,group_1531,group_3358
group_701,group_1521,group_1522,group_967,group_967,group_967,cmk,group_60,group_60,group_692,group_692,fdxE,group_60,group_692,group_60,group_60,group_692,group_60,group_967,group_60,group_2380,group_713,metK
group_702,group_1522,group_967,group_280,group_280,group_280,group_1804,group_692,group_692,cmk,cmk,hscA,group_692,cmk,group_692,group_692,cmk,group_692,group_280,group_692,group_162,group_1533,group_1222
group_703,group_967,group_280,group_60,group_60,group_60,rpsA,cmk,cmk,group_1804,group_1804,hscB,cmk,group_1804,cmk,cmk,group_1804,cmk,group_60,cmk,group_2381,group_714,group_1223
dpnM,group_280,group_60,group_692,group_692,group_692,clpP,group_1804,group_1804,rpsA,rpsA,rnhB,group_1804,rpsA,group_1804,group_1804,rpsA,group_1804,group_61,group_1804,mreB,group_2682,group_3359
group_283,group_60,group_692,cmk,cmk,cmk,group_1525,rpsA,rpsA,clpP,clpP,uvrB,rpsA,clpP,rpsA,rpsA,clpP,rpsA,group_692,rpsA,group_1219,group_1534,group_1224
group_704,group_692,cmk,group_694,group_694,group_694,fni,clpP,clpP,group_1525,group_1525,group_500,clpP,group_1525,clpP,clpP,group_1525,clpP,cmk,clpP,group_2382,argO,group_3360
group_705,cmk,group_694,rpsA,rpsA,rpsA,group_696,group_1525,group_1525,fni,fni,atm1,group_1525,fni,group_1525,group_1525,fni,group_1525,group_1804,group_1525,group_1220,group_2683,group_1225
lpd3,group_694,rpsA,clpP,clpP,clpP,group_1526,fni,fni,group_696,group_696,group_1366,fni,group_696,fni,fni,group_696,fni,rpsA,fni,group_2383,ampG_2,group_1226
group_706,rpsA,clpP,fni,fni,fni,group_697,group_696,group_696,group_1526,group_1526,gyrA,group_696,group_1526,group_696,group_696,group_1526,group_696,clpP,group_696,group_2384,group_2684,group_1227
group_1528,clpP,fni,group_696,group_696,group_696,glmU,group_1526,group_1526,group_697,group_697,group_28,group_1526,group_697,group_1526,group_1526,group_697,group_1526,group_1525,group_1526,group_2385,tlcA_4,group_3361
rnd_2,fni,group_696,group_1526,group_1526,group_1526,group_699,group_697,group_697,glmU,glmU,group_211,group_697,glmU,group_697,group_697,glmU,group_697,fni,group_697,group_2386,group_719,group_3362
group_708,group_696,group_1526,group_697,group_697,group_697,ykgO,glmU,glmU,group_699,group_699,group_1369,glmU,group_699,glmU,glmU,group_699,glmU,group_696,glmU,metK,group_720,group_3363
ygfZ,group_1526,group_697,glmU,glmU,glmU,group_5,group_699,group_699,ykgO,ykgO,group_1370,group_699,ykgO,group_699,group_699,ykgO,group_699,group_1526,group_699,group_1222,group_2685,group_3364
group_710,group_697,glmU,group_699,group_699,group_699,group_700,ykgO,ykgO,group_5,group_5,def_2,ykgO,group_5,ykgO,ykgO,group_5,ykgO,group_697,ykgO,group_1223,adiC,group_2393
group_284,glmU,group_699,ykgO,ykgO,ykgO,group_701,group_5,group_5,group_700,group_700,fmt,group_5,group_700,group_5,group_5,group_700,group_5,glmU,group_5,group_2387,group_2686,group_3365
group_1529,group_699,ykgO,group_5,group_5,group_5,group_1805,group_700,group_700,group_701,group_701,group_1371,group_700,group_701,group_700,group_700,group_701,group_700,group_699,group_700,group_1224,group_988,nuoM
group_118,ykgO,group_5,group_7,group_7,group_7,group_702,group_701,group_701,group_1805,group_1805,group_504,group_701,group_1805,group_701,group_701,group_1805,group_701,ykgO,group_701,group_2388,iscA,group_3367
walK,group_5,group_7,group_700,group_700,group_700,group_703,group_1805,group_1805,group_702,group_702,group_212,group_1805,group_702,group_1805,group_1805,group_702,group_1805,group_5,group_1805,group_1225,iscU,group_1228
group_285,group_7,group_700,group_701,group_701,group_701,dpnM,group_702,group_702,group_703,group_703,zapE,group_702,group_703,group_702,group_702,group_703,group_702,group_700,group_702,group_1226,iscS_1,group_1229
hemC,group_700,group_701,group_987,group_987,group_987,group_283,group_703,group_703,dpnM,dpnM,queA,group_703,dpnM,group_703,group_703,dpnM,group_703,group_701,group_703,group_1227,iscS_2,group_1230
trpS,group_701,group_987,group_702,group_702,group_702,group_704,dpnM,dpnM,group_283,group_283,group_213,dpnM,group_283,dpnM,dpnM,group_283,dpnM,group_1805,dpnM,group_2389,iscR,group_1231
group_1531,group_987,group_702,group_703,group_703,group_703,group_705,group_283,group_283,group_704,group_704,group_214,group_283,group_704,group_283,group_283,group_704,group_283,group_702,group_283,group_2390,group_120,acn
group_713,group_702,group_703,dpnM,dpnM,dpnM,lpd3,group_704,group_704,group_705,group_705,group_1373,group_704,group_705,group_704,group_704,group_705,group_704,group_703,group_704,group_2391,group_289,group_3369
group_1532,group_703,dpnM,group_283,group_283,group_283,group_706,group_705,group_705,lpd3,lpd3,group_506,group_705,lpd3,group_705,group_705,lpd3,group_705,dpnM,group_705,group_2392,group_1542,group_1232
group_1533,dpnM,group_283,group_704,group_704,group_704,group_1528,lpd3,lpd3,group_706,group_706,group_1374,lpd3,group_706,lpd3,lpd3,group_706,lpd3,group_283,lpd3,group_2393,group_290,group_3370
group_714,group_283,group_704,group_705,group_705,group_705,rnd_2,group_706,group_706,group_1528,group_1528,cydB,group_706,group_1528,group_706,group_706,group_1528,group_706,group_704,group_706,group_2394,group_2687,group_1233
group_2682,group_704,group_705,lpd3,lpd3,lpd3,group_708,group_1528,group_1528,rnd_2,rnd_2,relJ,group_1528,rnd_2,group_1528,group_1528,rnd_2,group_1528,group_705,group_1528,group_2395,yhcG_2,group_3371
group_1534,group_705,lpd3,group_706,group_706,group_706,ygfZ,rnd_2,rnd_2,group_708,group_708,group_509,rnd_2,group_708,rnd_2,rnd_2,group_708,rnd_2,lpd3,rnd_2,group_2396,group_2689,group_3372
argO,lpd3,group_706,group_1528,group_1528,group_1528,group_710,group_708,group_708,ygfZ,ygfZ,group_510,group_708,ygfZ,group_708,group_708,ygfZ,group_708,group_706,group_708,group_1228,group_2690,group_3373
ampG_2,group_706,group_1528,rnd_2,rnd_2,rnd_2,group_284,ygfZ,ygfZ,group_710,group_710,group_511,ygfZ,group_710,ygfZ,ygfZ,group_710,ygfZ,group_1528,ygfZ,group_1229,group_2691,group_1234
group_716,group_1528,rnd_2,group_708,group_708,group_708,group_1529,group_710,group_710,group_284,group_284,purC,group_710,group_284,group_710,group_710,group_284,group_710,rnd_2,group_710,group_1230,fni,group_1235
group_1536,rnd_2,group_708,ygfZ,ygfZ,ygfZ,group_118,group_284,group_284,group_1529,group_1529,group_512,group_284,group_1529,group_284,group_284,group_1529,group_284,group_708,group_284,group_1231,clpP,group_3374
group_717,group_708,ygfZ,group_710,group_710,group_710,walK,group_1529,group_1529,group_118,group_118,thrS,group_1529,group_118,group_1529,group_1529,group_118,group_1529,ygfZ,group_1529,group_2397,rpsA,kefC
group_1537,ygfZ,group_710,group_284,group_284,group_284,group_285,group_118,group_118,walK,walK,group_1780,group_118,walK,group_118,group_118,walK,group_118,group_710,group_118,group_2398,cmk,group_3375
group_286,group_710,group_284,group_1874,group_1874,group_1874,hemC,walK,walK,group_285,group_285,group_1781,walK,group_285,walK,walK,group_285,walK,group_284,walK,group_1232,group_692,group_1236
group_718,group_284,group_1874,group_1529,group_1529,group_1529,group_1806,group_285,group_285,hemC,hemC,group_514,group_285,hemC,group_285,group_285,hemC,group_285,group_1529,group_285,group_2399,group_2692,infA
tlcA_4,group_1874,group_1529,group_118,group_118,group_118,trpS,hemC,hemC,group_1806,group_1806,group_953,hemC,group_1806,hemC,hemC,group_1806,hemC,group_119,hemC,group_1233,group_2693,group_3376
group_719,group_1529,group_118,group_285,group_285,group_285,group_1531,group_1806,group_1806,trpS,trpS,hepA,group_1806,trpS,group_1806,group_1806,trpS,group_1806,group_118,group_1806,group_2400,group_2694,dksA
group_720,group_118,group_285,hemC,hemC,hemC,group_713,trpS,trpS,group_1531,group_1531,group_95,trpS,group_1531,trpS,trpS,group_1531,trpS,walK,trpS,group_2401,group_2695,xerD_2
group_287,group_285,hemC,group_1875,group_1875,group_1875,group_1532,group_1531,group_1531,group_713,group_713,group_1782,group_1531,group_713,group_1531,group_1531,group_713,group_1531,group_285,group_1531,group_2402,group_2696,group_3378
adiC,hemC,group_1875,group_1876,group_1876,group_1876,group_1533,group_713,group_713,group_1532,group_1532,group_216,group_713,group_1532,group_713,group_713,group_1532,group_713,hemC,group_713,group_2403,group_2697,group_3379
group_722,group_1875,group_1876,group_1877,group_1877,group_1877,group_714,group_1532,group_1532,group_1533,group_1533,group_217,group_1532,group_1533,group_1532,group_1532,group_1533,group_1532,group_1806,group_1532,group_1234,group_2698,group_1237
group_288,group_1876,group_1877,trpS,trpS,trpS,group_2682,group_1533,group_1533,group_714,group_714,bepC,group_1533,group_714,group_1533,group_1533,group_714,group_1533,trpS,group_1533,group_1235,group_2699,group_3380
iscA,group_1877,trpS,group_1531,group_1531,group_1531,group_1534,group_714,group_714,group_2682,group_2682,group_515,group_714,group_2682,group_714,group_714,group_2682,group_714,group_1531,group_714,group_2404,hemC,group_3381
iscU,trpS,group_1531,group_713,group_713,group_713,argO,group_2682,group_2682,group_1534,group_1534,group_1783,group_2682,group_1534,group_2682,group_2682,group_1534,group_2682,group_713,group_2682,kefC,group_285,group_3382
iscS_1,group_1531,group_713,group_1532,group_1532,group_1532,ampG_2,group_1534,group_1534,argO,argO,group_516,group_1534,argO,group_1534,group_1534,argO,group_1534,group_1532,group_1534,group_2405,group_2700,map
iscS_2,group_713,group_1532,group_1533,group_1533,group_1533,group_1807,argO,argO,ampG_2,ampG_2,parE,argO,ampG_2,argO,argO,ampG_2,argO,group_1533,argO,group_1236,group_2701,group_1238
iscR,group_1532,group_1533,group_714,group_714,group_714,group_716,ampG_2,ampG_2,group_1807,group_1807,group_517,ampG_2,group_1807,ampG_2,ampG_2,group_1807,ampG_2,group_714,ampG_2,infA,group_118,group_3383
group_120,group_1533,group_714,group_2682,group_2682,group_2682,group_717,group_1807,group_1807,group_716,group_716,rcsC,group_1807,group_716,group_1807,group_1807,group_716,group_1807,group_2682,group_1807,group_2406,group_2702,group_3384
group_289,group_714,group_2682,group_1534,group_1534,group_1534,group_1537,group_716,group_716,group_717,group_717,cpoB_1,group_716,group_717,group_716,group_716,group_717,group_716,group_1534,group_716,dksA,group_2703,group_3385
group_1542,group_2682,group_1534,argO,argO,argO,group_286,group_717,group_717,group_1537,group_1537,group_519,group_717,group_1537,group_717,group_717,group_1537,group_717,argO,group_717,group_2407,group_710,group_1239
group_1543,group_1534,argO,ampG_2,ampG_2,ampG_2,group_718,group_1537,group_1537,group_286,group_286,bamB,group_1537,group_286,group_1537,group_1537,group_286,group_1537,ampG_2,group_1537,group_2408,group_2704,group_1240
group_290,argO,ampG_2,group_716,group_716,group_716,tlcA_4,group_286,group_286,group_718,group_718,rplM,group_286,group_718,group_286,group_286,group_718,group_286,group_1807,group_286,group_2409,ygfZ,group_3386
group_98,ampG_2,group_716,group_717,group_717,group_717,group_719,group_718,group_718,tlcA_4,tlcA_4,rpsI,group_718,tlcA_4,group_718,group_718,tlcA_4,group_718,group_716,group_718,group_1237,group_708,group_1241
ndhB_3,group_716,group_717,group_286,group_286,group_286,group_720,tlcA_4,tlcA_4,group_719,group_719,ddpX_1,tlcA_4,group_719,tlcA_4,tlcA_4,group_719,tlcA_4,group_717,tlcA_4,group_2410,rnd_2,group_3387
group_989,group_717,group_286,group_718,group_718,group_718,group_287,group_719,group_719,group_720,group_720,ddpX,group_719,group_720,group_719,group_719,group_720,group_719,group_1537,group_719,group_2411,group_706,group_1242
hemB,group_286,group_718,tlcA_4,tlcA_4,tlcA_4,adiC,group_720,group_720,group_287,group_287,group_220,group_720,group_287,group_720,group_720,group_287,group_720,group_286,group_720,group_2412,lpd3,uvrA
group_726,group_718,tlcA_4,group_719,group_719,group_719,group_722,group_287,group_287,adiC,adiC,group_1784,group_287,adiC,group_287,group_287,adiC,group_287,group_718,group_287,group_2413,group_705,ssb
group_121,tlcA_4,group_719,group_720,group_720,group_720,group_288,adiC,adiC,group_722,group_722,group_1785,adiC,group_722,adiC,adiC,group_722,adiC,tlcA_4,adiC,group_2414,group_704,group_3388
priA,group_719,group_720,group_287,group_287,group_287,iscA,group_722,group_722,group_288,group_288,rppH,group_722,group_288,group_722,group_722,group_288,group_722,group_719,group_722,map,group_2705,group_3389
bsdB,group_720,group_287,adiC,adiC,adiC,iscU,group_288,group_288,iscA,iscA,pleD,group_288,iscA,group_288,group_288,iscA,group_288,group_720,group_288,group_2415,group_2706,group_1243
group_1546,group_287,adiC,group_722,group_722,group_722,iscS_1,iscA,iscA,iscU,iscU,efp,iscA,iscU,iscA,iscA,iscU,iscA,group_287,iscA,group_1238,group_987,group_2424
dnaC,adiC,group_722,group_988,group_988,group_988,iscS_2,iscU,iscU,iscS_1,iscS_1,cysQ_1,iscU,iscS_1,iscU,iscU,iscS_1,iscU,adiC,iscU,group_2416,group_701,group_3390
group_1548,group_722,group_988,group_288,group_288,group_288,iscR,iscS_1,iscS_1,iscS_2,iscS_2,group_524,iscS_1,iscS_2,iscS_1,iscS_1,iscS_2,iscS_1,group_722,iscS_1,group_2417,group_700,group_3391
group_728,group_988,group_288,iscA,iscA,iscA,group_120,iscS_2,iscS_2,iscR,iscR,psd,iscS_2,iscR,iscS_2,iscS_2,iscR,iscS_2,group_288,iscS_2,group_2418,group_6,group_1244
group_1549,group_288,iscA,iscU,iscU,iscU,group_968,iscR,iscR,group_120,group_120,group_526,iscR,group_120,iscR,iscR,group_120,iscR,iscA,iscR,group_1239,group_2707,group_3392
group_729,iscA,iscU,iscS_1,iscS_1,iscS_1,group_1542,group_120,group_120,group_968,group_968,emrA,group_120,group_968,group_120,group_120,group_968,group_120,iscU,group_120,group_1240,group_5,group_3393
rluB,iscU,iscS_1,iscS_2,iscS_2,iscS_2,group_1543,group_968,group_968,group_1542,group_1542,group_221,group_968,group_1542,group_968,group_968,group_1542,group_968,iscS_1,group_968,group_2419,ykgO,group_3394
group_122,iscS_1,iscS_2,iscR,iscR,iscR,group_290,group_1542,group_1542,group_1543,group_1543,group_1386,group_1542,group_1543,group_1542,group_1542,group_1543,group_1542,iscS_2,group_1542,group_1241,group_699,group_3395
rsmD,iscS_2,iscR,group_120,group_120,group_120,group_98,group_1543,group_1543,group_290,group_290,bolA,group_1543,group_290,group_1543,group_1543,group_290,group_1543,iscR,group_1543,group_2420,glmU,group_1245
radA,iscR,group_120,group_289,group_289,group_289,ndhB_3,group_290,group_290,group_98,group_98,group_529,group_290,group_98,group_290,group_290,group_98,group_290,group_120,group_290,group_1242,group_2708,group_3396
group_733,group_120,group_289,group_968,group_968,group_968,group_989,group_98,group_98,ndhB_3,ndhB_3,murC,group_98,ndhB_3,group_98,group_98,ndhB_3,group_98,group_968,group_98,uvrA,group_2709,group_1246
recO,group_289,group_968,group_1542,group_1542,group_1542,hemB,ndhB_3,ndhB_3,group_989,group_989,murB,ndhB_3,group_989,ndhB_3,ndhB_3,group_989,ndhB_3,group_1542,ndhB_3,ssb,group_2710,group_1247
group_735,group_968,group_1542,group_1543,group_1543,group_1543,group_1808,group_989,group_989,hemB,hemB,ddlB,group_989,hemB,group_989,group_989,hemB,group_989,group_1543,group_989,group_2421,group_2711,group_1248
group_736,group_1542,group_1543,group_290,group_290,group_290,group_121,hemB,hemB,group_1808,group_1808,ftsQ,hemB,group_1808,hemB,hemB,group_1808,hemB,group_290,hemB,group_2422,group_2712,group_3397
group_291,group_1543,group_290,group_98,group_98,group_98,priA,group_1808,group_1808,group_121,group_121,ftsA,group_1808,group_121,group_1808,group_1808,group_121,group_1808,group_229,group_1808,group_2423,group_2713,group_3398
infB,group_290,group_98,ndhB_3,ndhB_3,ndhB_3,bsdB,group_121,group_121,priA,priA,group_532,group_121,priA,group_121,group_121,priA,group_121,group_1404,group_121,group_1243,group_2714,group_1249
nusA,group_98,ndhB_3,group_989,group_989,group_989,group_1546,priA,priA,bsdB,bsdB,group_533,priA,bsdB,priA,priA,bsdB,priA,group_551,priA,group_2424,group_2715,group_3399
rimP,ndhB_3,group_989,hemB,hemB,hemB,dnaC,bsdB,bsdB,group_1546,group_1546,group_534,bsdB,group_1546,bsdB,bsdB,group_1546,bsdB,group_549,bsdB,group_2425,group_2716,group_3400
hmp,group_989,hemB,group_726,group_726,group_726,group_728,group_1546,group_1546,dnaC,dnaC,lpxC,group_1546,dnaC,group_1546,group_1546,dnaC,group_1546,group_98,group_1546,group_2426,group_2555,rpoD
group_1551,hemB,group_726,group_121,group_121,group_121,group_1549,dnaC,dnaC,group_728,group_728,group_1391,dnaC,group_728,dnaC,dnaC,group_728,dnaC,ndhB_3,dnaC,group_1244,group_2717,group_1250
nsrR,group_726,group_121,priA,priA,priA,group_729,group_728,group_728,group_1549,group_1549,rne,group_728,group_1549,group_728,group_728,group_1549,group_728,group_989,group_728,group_2427,group_2718,group_3401
tlyA,group_121,priA,bsdB,bsdB,bsdB,rluB,group_1549,group_1549,group_729,group_729,ctaA,group_1549,group_729,group_1549,group_1549,group_729,group_1549,hemB,group_1549,group_2428,ndhB_3,greA
tyrS,priA,bsdB,group_1546,group_1546,group_1546,group_122,group_729,group_729,rluB,rluB,rluC,group_729,rluB,group_729,group_729,rluB,group_729,group_1808,group_729,group_2429,group_989,group_3402
group_293,bsdB,group_1546,dnaC,dnaC,dnaC,rsmD,rluB,rluB,group_122,group_122,ampH,rluB,group_122,rluB,rluB,group_122,rluB,group_121,rluB,group_1245,hemB,group_3403
group_738,group_1546,dnaC,group_1548,group_1548,group_1548,radA,group_122,group_122,rsmD,rsmD,xthA_1,group_122,rsmD,group_122,group_122,rsmD,group_122,priA,group_122,group_2430,group_121,group_3404
group_294,dnaC,group_1548,group_728,group_728,group_728,group_733,rsmD,rsmD,radA,radA,acoA,rsmD,radA,rsmD,rsmD,radA,rsmD,bsdB,rsmD,group_1246,priA,group_1251
group_295,group_1548,group_728,group_729,group_729,group_729,recO,radA,radA,group_733,group_733,acoB,radA,group_733,radA,radA,group_733,radA,group_1546,radA,group_1247,bsdB,group_3405
group_739,group_728,group_729,rluB,rluB,rluB,group_735,group_733,group_733,recO,recO,typA,group_733,recO,group_733,group_733,recO,group_733,dnaC,group_733,group_1248,dnaC,group_1252
group_296,group_729,rluB,group_122,group_122,group_122,group_736,recO,recO,group_735,group_735,group_96,recO,group_735,recO,recO,group_735,recO,group_728,recO,group_2431,group_2719,group_3406
group_740,rluB,group_122,rsmD,rsmD,rsmD,group_291,group_735,group_735,group_736,group_736,group_222,group_735,group_736,group_735,group_735,group_736,group_735,group_1549,group_735,group_2432,group_2720,group_1253
group_741,group_122,rsmD,radA,radA,radA,infB,group_736,group_736,group_291,group_291,group_1786,group_736,group_291,group_736,group_736,group_291,group_736,group_729,group_736,group_1249,group_2721,group_1254
group_1554,rsmD,radA,group_733,group_733,group_733,group_1809,group_291,group_291,infB,infB,group_541,group_291,infB,group_291,group_291,infB,group_291,rluB,group_291,group_2433,group_729,group_3407
group_297,radA,group_733,recO,recO,recO,nusA,infB,infB,group_1809,group_1809,icd,infB,group_1809,infB,infB,group_1809,infB,group_123,infB,group_2434,rluB,group_1255
yfhM,group_733,recO,group_735,group_735,group_735,rimP,group_1809,group_1809,nusA,nusA,group_954,group_1809,nusA,group_1809,group_1809,nusA,group_1809,group_122,group_1809,rpoD,group_122,group_3408
group_125,recO,group_735,group_736,group_736,group_736,hmp,nusA,nusA,rimP,rimP,group_2548,nusA,rimP,nusA,nusA,rimP,nusA,rsmD,nusA,group_1250,rsmD,group_3409
group_126,group_735,group_736,group_291,group_291,group_291,group_1551,rimP,rimP,hmp,hmp,group_1396,rimP,hmp,rimP,rimP,hmp,rimP,radA,rimP,group_2435,radA,group_3410
group_127,group_736,group_291,infB,infB,infB,nsrR,hmp,hmp,group_1551,group_1551,group_542,hmp,group_1551,hmp,hmp,group_1551,hmp,group_733,hmp,greA,group_733,group_1256
fadN,group_291,infB,nusA,nusA,nusA,tlyA,group_1551,group_1551,nsrR,nsrR,petA,group_1551,nsrR,group_1551,group_1551,nsrR,group_1551,recO,group_1551,group_2436,recO,group_1257
group_742,infB,nusA,rimP,rimP,rimP,tyrS,nsrR,nsrR,tlyA,tlyA,petB,nsrR,tlyA,nsrR,nsrR,tlyA,nsrR,group_735,nsrR,group_2437,group_2722,rpmG
group_1556,nusA,rimP,hmp,hmp,hmp,group_293,tlyA,tlyA,tyrS,tyrS,group_1787,tlyA,tyrS,tlyA,tlyA,tyrS,tlyA,group_736,tlyA,group_2438,group_736,group_3411
group_743,rimP,hmp,group_1551,group_1551,group_1551,group_738,tyrS,tyrS,group_293,group_293,petC,tyrS,group_293,tyrS,tyrS,group_293,tyrS,group_291,tyrS,group_1251,group_2723,group_3412
group_298,hmp,group_1551,nsrR,nsrR,nsrR,group_294,group_293,group_293,group_738,group_738,group_224,group_293,group_738,group_293,group_293,group_738,group_293,infB,group_293,group_1252,infB,proP_5
ubiL,group_1551,nsrR,tlyA,tlyA,tlyA,group_295,group_738,group_738,group_294,group_294,group_1398,group_738,group_294,group_738,group_738,group_294,group_738,group_1809,group_738,group_2439,nusA,group_1259
glnG,nsrR,tlyA,tyrS,tyrS,tyrS,group_739,group_294,group_294,group_295,group_295,group_545,group_294,group_295,group_294,group_294,group_295,group_294,nusA,group_294,group_2440,rimP,group_1260
group_744,tlyA,tyrS,group_293,group_293,group_293,group_296,group_295,group_295,group_739,group_739,group_546,group_295,group_739,group_295,group_295,group_739,group_295,rimP,group_295,group_1253,group_2724,group_3413
group_745,tyrS,group_293,group_738,group_738,group_738,group_740,group_739,group_739,group_296,group_296,yhcG_1,group_739,group_296,group_739,group_739,group_296,group_739,hmp,group_739,group_1254,group_2725,group_3414
mrdA,group_293,group_738,group_294,group_294,group_294,group_1810,group_296,group_296,group_740,group_740,yhcG,group_296,group_740,group_296,group_296,group_740,group_296,group_1551,group_296,group_2441,nsrR,
group_747,group_738,group_294,group_295,group_295,group_295,group_297,group_740,group_740,group_1810,group_1810,group_1788,group_740,group_1810,group_740,group_740,group_1810,group_740,nsrR,group_740,group_1255,tlyA,
group_299,group_294,group_295,group_739,group_739,group_739,yfhM,group_1810,group_1810,group_297,group_297,prfB,group_1810,group_297,group_1810,group_1810,group_297,group_1810,tlyA,group_1810,group_2442,tyrS,
ftsI,group_295,group_739,group_296,group_296,group_296,group_125,group_297,group_297,yfhM,yfhM,lepA,group_297,yfhM,group_297,group_297,yfhM,group_297,tyrS,group_297,group_2443,group_293,
group_1558,group_739,group_296,group_740,group_740,group_740,group_127,yfhM,yfhM,group_125,group_125,group_956,yfhM,group_125,yfhM,yfhM,group_125,yfhM,group_293,yfhM,group_1256,group_738,
rsmH,group_296,group_740,group_1878,group_1878,group_1878,fadN,group_125,group_125,group_127,group_127,group_1402,group_125,group_127,group_125,group_125,group_127,group_125,group_738,group_125,group_1257,group_2726,
mraZ,group_740,group_1878,group_1879,group_1879,group_1879,group_742,group_127,group_127,fadN,fadN,group_547,group_127,fadN,group_127,group_127,fadN,group_127,group_294,group_127,rpmG,group_2727,
group_969,group_1878,group_1879,group_1880,group_1880,group_1880,group_743,fadN,fadN,group_742,group_742,group_227,fadN,group_742,fadN,fadN,group_742,fadN,group_295,fadN,group_2444,group_2728,
group_749,group_1879,group_1880,group_1881,group_1881,group_1881,group_298,group_742,group_742,group_743,group_743,group_1789,group_742,group_743,group_742,group_742,group_743,group_742,group_739,group_742,group_2445,group_2729,
group_1560,group_1880,group_1881,group_1882,group_1882,group_1882,ubiL,group_743,group_743,group_298,group_298,group_97,group_743,group_298,group_743,group_743,group_298,group_743,group_296,group_743,proP_5,group_2730,
group_65,group_1881,group_1882,group_741,group_741,group_741,glnG,group_298,group_298,ubiL,ubiL,group_548,group_298,ubiL,group_298,group_298,ubiL,group_298,group_740,group_298,group_1259,group_2731,
